SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
BHAGCHEM, EQ, 02-Jan-2026,206.04,206.9,212.5,198.82,200.02,200.62,203.69,438707,893.59,6587, 230938, 52.64
BHAGERIA, EQ, 02-Jan-2026,180.63,181.49,184.76,180.11,183.99,183.41,182.51,37212,67.92,1202, 22111, 59.42
BHAGYANGR, BE, 02-Jan-2026,159.26,159.26,163.0,156.0,162.0,161.24,160.19,167321,268.03,1706, -, -
BHANDARI, EQ, 02-Jan-2026,4.0,4.04,4.35,3.98,4.29,4.24,4.16,563672,23.46,1143, 430031, 76.29
BHARATFORG, EQ, 02-Jan-2026,1464.4,1467.0,1487.9,1462.4,1479.0,1477.2,1479.13,1005873,14878.17,38154, 529655, 52.66
BHARATGEAR, BE, 02-Jan-2026,112.91,113.25,117.7,113.25,116.75,117.29,115.78,64570,74.76,577, -, -
BHARATRAS, EQ, 02-Jan-2026,2215.9,2217.0,2253.6,2190.0,2210.0,2202.0,2205.36,17822,393.04,2156, 10120, 56.78
BHARATSE, EQ, 02-Jan-2026,172.92,174.64,178.0,173.01,177.99,177.6,176.87,119167,210.77,2334, 69330, 58.18
BHARATWIRE, EQ, 02-Jan-2026,179.81,179.45,189.0,177.65,187.0,186.62,185.22,924907,1713.14,7804, 446507, 48.28
BHARTIARTL, EQ, 02-Jan-2026,2110.4,2108.0,2125.0,2098.0,2108.5,2106.3,2107.79,2927138,61697.85,137361, 2040630, 69.71
BHARTIHEXA, EQ, 02-Jan-2026,1810.4,1822.0,1822.0,1768.0,1800.2,1802.1,1792.66,158080,2833.83,13038, 82168, 51.98
BHEL, EQ, 02-Jan-2026,291.45,292.7,300.85,291.55,299.7,299.5,296.9,13871683,41185.57,97176, 5472149, 39.45
BIGBLOC, EQ, 02-Jan-2026,75.04,75.1,75.64,72.1,73.72,73.06,73.85,275277,203.29,3085, 112919, 41.02
BIKAJI, EQ, 02-Jan-2026,738.4,741.9,744.4,732.5,735.5,735.6,737.32,83609,616.47,9069, 41042, 49.09
BIKEWO, SM, 02-Jan-2026,22.25,22.25,22.25,21.55,22.25,22.25,21.76,72000,15.67,10, 68000, 94.44
